LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,CONNIE M LEYVA,MATTHEW MUNSON,
FOOTHILL,2350028A,6081,202,Y,141,POLLING PLACE,,,,
FOOTHILL,2350028A,6081,202,Y,,VBM PORTION,17,12,5,
FOOTHILL,2350028A,6081,202,Y,141,TOTAL,17,12,5,
FOOTHILL,2350029A,6082,202,Y,103,POLLING PLACE,,,,
FOOTHILL,2350029A,6082,202,Y,,VBM PORTION,10,1,9,
FOOTHILL,2350029A,6082,202,Y,103,TOTAL,10,1,9,
POMONA,5250001A,2092,209,N,968,POLLING PLACE,185,83,91,
POMONA,5250001A,2092,209,N,,VBM PORTION,63,30,29,
POMONA,5250001A,2092,209,N,968,TOTAL,248,113,120,
POMONA,5250003A,2093,207,N,1481,POLLING PLACE,262,167,75,
POMONA,5250003A,2093,207,N,,VBM PORTION,182,101,63,
POMONA,5250003A,2093,207,N,1481,TOTAL,444,268,138,
POMONA,5250004A,2094,203,N,1153,POLLING PLACE,151,121,21,
POMONA,5250004A,2094,203,N,,VBM PORTION,41,35,5,
POMONA,5250004A,2094,203,N,1153,TOTAL,192,156,26,
POMONA,5250005A,2095,209,N,868,POLLING PLACE,136,102,27,
POMONA,5250005A,2095,209,N,,VBM PORTION,60,29,28,
POMONA,5250005A,2095,209,N,868,TOTAL,196,131,55,
POMONA,5250006A,2096,206,N,436,POLLING PLACE,44,25,14,
POMONA,5250006A,2096,206,N,,VBM PORTION,11,10,1,
POMONA,5250006A,2096,206,N,436,TOTAL,55,35,15,
POMONA,5250008A,2097,207,N,631,POLLING PLACE,103,87,9,
POMONA,5250008A,2097,207,N,,VBM PORTION,22,17,3,
POMONA,5250008A,2097,207,N,631,TOTAL,125,104,12,
POMONA,5250008B,2098,207,N,1124,POLLING PLACE,152,101,42,
POMONA,5250008B,2098,207,N,,VBM PORTION,57,39,17,
POMONA,5250008B,2098,207,N,1124,TOTAL,209,140,59,
POMONA,5250009B,2099,207,N,575,POLLING PLACE,92,79,5,
POMONA,5250009B,2099,207,N,,VBM PORTION,7,6,,
POMONA,5250009B,2099,207,N,575,TOTAL,99,85,5,
POMONA,5250011B,2100,207,N,1155,POLLING PLACE,194,132,51,
POMONA,5250011B,2100,207,N,,VBM PORTION,44,31,10,
POMONA,5250011B,2100,207,N,1155,TOTAL,238,163,61,
POMONA,5250012A,2101,207,N,853,POLLING PLACE,96,73,19,
POMONA,5250012A,2101,207,N,,VBM PORTION,51,37,13,
POMONA,5250012A,2101,207,N,853,TOTAL,147,110,32,
POMONA,5250013A,2102,207,N,987,POLLING PLACE,186,103,75,
POMONA,5250013A,2102,207,N,,VBM PORTION,80,48,31,
POMONA,5250013A,2102,207,N,987,TOTAL,266,151,106,
POMONA,5250014A,2103,207,N,1188,POLLING PLACE,218,113,91,
POMONA,5250014A,2103,207,N,,VBM PORTION,89,46,39,
POMONA,5250014A,2103,207,N,1188,TOTAL,307,159,130,
POMONA,5250016B,2104,207,N,1275,POLLING PLACE,259,158,86,
POMONA,5250016B,2104,207,N,,VBM PORTION,119,63,48,
POMONA,5250016B,2104,207,N,1275,TOTAL,378,221,134,
POMONA,5250017A,2105,204,N,458,POLLING PLACE,60,54,4,
POMONA,5250017A,2105,204,N,,VBM PORTION,10,6,4,
POMONA,5250017A,2105,204,N,458,TOTAL,70,60,8,
POMONA,5250018A,2106,205,N,765,POLLING PLACE,57,31,25,
POMONA,5250018A,2106,205,N,,VBM PORTION,44,21,18,
POMONA,5250018A,2106,205,N,765,TOTAL,101,52,43,
POMONA,5250021A,2107,208,N,1152,POLLING PLACE,172,127,39,
POMONA,5250021A,2107,208,N,,VBM PORTION,42,34,6,
POMONA,5250021A,2107,208,N,1152,TOTAL,214,161,45,
POMONA,5250022A,2108,207,N,770,POLLING PLACE,103,83,14,
POMONA,5250022A,2108,207,N,,VBM PORTION,30,24,4,
POMONA,5250022A,2108,207,N,770,TOTAL,133,107,18,
POMONA,5250023A,2109,207,N,1139,POLLING PLACE,162,125,33,
POMONA,5250023A,2109,207,N,,VBM PORTION,56,42,9,
POMONA,5250023A,2109,207,N,1139,TOTAL,218,167,42,
POMONA,5250024A,2110,207,N,821,POLLING PLACE,122,99,18,
POMONA,5250024A,2110,207,N,,VBM PORTION,33,24,7,
POMONA,5250024A,2110,207,N,821,TOTAL,155,123,25,
POMONA,5250025A,2111,207,N,966,POLLING PLACE,119,77,31,
POMONA,5250025A,2111,207,N,,VBM PORTION,33,21,8,
POMONA,5250025A,2111,207,N,966,TOTAL,152,98,39,
POMONA,5250028A,2112,208,N,450,POLLING PLACE,61,39,14,
POMONA,5250028A,2112,208,N,,VBM PORTION,11,6,4,
POMONA,5250028A,2112,208,N,450,TOTAL,72,45,18,
POMONA,5250028D,2113,207,N,600,POLLING PLACE,62,50,9,
POMONA,5250028D,2113,207,N,,VBM PORTION,9,5,4,
POMONA,5250028D,2113,207,N,600,TOTAL,71,55,13,
POMONA,5250029A,2114,207,N,1158,POLLING PLACE,185,136,38,
POMONA,5250029A,2114,207,N,,VBM PORTION,58,37,18,
POMONA,5250029A,2114,207,N,1158,TOTAL,243,173,56,
POMONA,5250030A,2115,207,N,1024,POLLING PLACE,117,69,38,
POMONA,5250030A,2115,207,N,,VBM PORTION,38,16,19,
POMONA,5250030A,2115,207,N,1024,TOTAL,155,85,57,
POMONA,5250034B,2116,207,N,1199,POLLING PLACE,246,153,83,
POMONA,5250034B,2116,207,N,,VBM PORTION,104,56,40,
POMONA,5250034B,2116,207,N,1199,TOTAL,350,209,123,
POMONA,5250038A,2117,207,N,1063,POLLING PLACE,198,130,60,
POMONA,5250038A,2117,207,N,,VBM PORTION,71,51,17,
POMONA,5250038A,2117,207,N,1063,TOTAL,269,181,77,
POMONA,5250041A,2118,207,N,1166,POLLING PLACE,195,144,40,
POMONA,5250041A,2118,207,N,,VBM PORTION,42,30,11,
POMONA,5250041A,2118,207,N,1166,TOTAL,237,174,51,
POMONA,5250042A,2119,207,N,1005,POLLING PLACE,174,122,44,
POMONA,5250042A,2119,207,N,,VBM PORTION,52,38,12,
POMONA,5250042A,2119,207,N,1005,TOTAL,226,160,56,
POMONA,5250044D,2120,208,N,504,POLLING PLACE,72,57,10,
POMONA,5250044D,2120,208,N,,VBM PORTION,14,6,8,
POMONA,5250044D,2120,208,N,504,TOTAL,86,63,18,
POMONA,5250046D,2121,207,N,876,POLLING PLACE,118,92,20,
POMONA,5250046D,2121,207,N,,VBM PORTION,46,36,10,
POMONA,5250046D,2121,207,N,876,TOTAL,164,128,30,
POMONA,5250049A,2122,204,N,1026,POLLING PLACE,136,98,29,
POMONA,5250049A,2122,204,N,,VBM PORTION,35,19,15,
POMONA,5250049A,2122,204,N,1026,TOTAL,171,117,44,
POMONA,5250050A,2123,207,N,812,POLLING PLACE,149,100,40,
POMONA,5250050A,2123,207,N,,VBM PORTION,31,13,18,
POMONA,5250050A,2123,207,N,812,TOTAL,180,113,58,
POMONA,5250053A,2124,207,N,1218,POLLING PLACE,141,112,25,
POMONA,5250053A,2124,207,N,,VBM PORTION,31,11,17,
POMONA,5250053A,2124,207,N,1218,TOTAL,172,123,42,
POMONA,5250055A,2125,206,N,1004,POLLING PLACE,202,131,53,
POMONA,5250055A,2125,206,N,,VBM PORTION,54,30,17,
POMONA,5250055A,2125,206,N,1004,TOTAL,256,161,70,
POMONA,5250057A,2126,206,N,624,POLLING PLACE,100,70,25,
POMONA,5250057A,2126,206,N,,VBM PORTION,33,19,14,
POMONA,5250057A,2126,206,N,624,TOTAL,133,89,39,
POMONA,5250061A,2127,203,N,1194,POLLING PLACE,175,130,27,
POMONA,5250061A,2127,203,N,,VBM PORTION,41,30,9,
POMONA,5250061A,2127,203,N,1194,TOTAL,216,160,36,
POMONA,5250062A,2128,203,N,1195,POLLING PLACE,176,127,29,
POMONA,5250062A,2128,203,N,,VBM PORTION,50,29,17,
POMONA,5250062A,2128,203,N,1195,TOTAL,226,156,46,
POMONA,5250063A,2129,203,N,861,POLLING PLACE,133,110,16,
POMONA,5250063A,2129,203,N,,VBM PORTION,41,29,8,
POMONA,5250063A,2129,203,N,861,TOTAL,174,139,24,
POMONA,5250065A,2130,203,N,839,POLLING PLACE,123,93,22,
POMONA,5250065A,2130,203,N,,VBM PORTION,28,23,4,
POMONA,5250065A,2130,203,N,839,TOTAL,151,116,26,
POMONA,5250066A,2131,203,N,850,POLLING PLACE,95,67,19,
POMONA,5250066A,2131,203,N,,VBM PORTION,18,14,3,
POMONA,5250066A,2131,203,N,850,TOTAL,113,81,22,
POMONA,5250069A,2132,204,N,1094,POLLING PLACE,139,98,19,
POMONA,5250069A,2132,204,N,,VBM PORTION,45,29,12,
POMONA,5250069A,2132,204,N,1094,TOTAL,184,127,31,
POMONA,5250070A,2133,204,N,1160,POLLING PLACE,178,120,32,
POMONA,5250070A,2133,204,N,,VBM PORTION,39,21,13,
POMONA,5250070A,2133,204,N,1160,TOTAL,217,141,45,
POMONA,5250073A,2134,203,N,932,POLLING PLACE,158,115,22,
POMONA,5250073A,2134,203,N,,VBM PORTION,38,28,8,
POMONA,5250073A,2134,203,N,932,TOTAL,196,143,30,
POMONA,5250076A,2135,204,N,946,POLLING PLACE,136,84,48,
POMONA,5250076A,2135,204,N,,VBM PORTION,56,40,13,
POMONA,5250076A,2135,204,N,946,TOTAL,192,124,61,
POMONA,5250077A,2136,204,N,1068,POLLING PLACE,180,121,49,
POMONA,5250077A,2136,204,N,,VBM PORTION,38,32,4,
POMONA,5250077A,2136,204,N,1068,TOTAL,218,153,53,
POMONA,5250079A,2137,207,N,975,POLLING PLACE,154,99,44,
POMONA,5250079A,2137,207,N,,VBM PORTION,37,24,11,
POMONA,5250079A,2137,207,N,975,TOTAL,191,123,55,
POMONA,5250087C,2138,207,N,831,POLLING PLACE,147,93,38,
POMONA,5250087C,2138,207,N,,VBM PORTION,48,31,14,
POMONA,5250087C,2138,207,N,831,TOTAL,195,124,52,
POMONA,5250090E,6191,207,Y,37,POLLING PLACE,,,,
POMONA,5250090E,6191,207,Y,,VBM PORTION,,,,
POMONA,5250090E,6191,207,Y,37,TOTAL,,,,
POMONA,5250096A,2139,204,N,1126,POLLING PLACE,136,98,29,
POMONA,5250096A,2139,204,N,,VBM PORTION,44,26,10,
POMONA,5250096A,2139,204,N,1126,TOTAL,180,124,39,
POMONA,5250142A,2140,206,N,786,POLLING PLACE,204,112,81,
POMONA,5250142A,2140,206,N,,VBM PORTION,42,24,16,
POMONA,5250142A,2140,206,N,786,TOTAL,246,136,97,
POMONA,5250143A,2141,206,N,812,POLLING PLACE,211,106,85,
POMONA,5250143A,2141,206,N,,VBM PORTION,61,33,27,
POMONA,5250143A,2141,206,N,812,TOTAL,272,139,112,
POMONA,5250145A,2142,206,N,1213,POLLING PLACE,214,108,84,
POMONA,5250145A,2142,206,N,,VBM PORTION,99,49,44,
POMONA,5250145A,2142,206,N,1213,TOTAL,313,157,128,
POMONA,5250147A,2143,206,N,721,POLLING PLACE,165,90,65,
POMONA,5250147A,2143,206,N,,VBM PORTION,62,22,39,
POMONA,5250147A,2143,206,N,721,TOTAL,227,112,104,
POMONA,5250148A,2144,209,N,644,POLLING PLACE,89,52,32,
POMONA,5250148A,2144,209,N,,VBM PORTION,67,35,24,
POMONA,5250148A,2144,209,N,644,TOTAL,156,87,56,
POMONA,5250150A,2145,206,N,790,POLLING PLACE,119,57,53,
POMONA,5250150A,2145,206,N,,VBM PORTION,79,32,43,
POMONA,5250150A,2145,206,N,790,TOTAL,198,89,96,
POMONA,5250151A,2146,206,N,828,POLLING PLACE,175,71,84,
POMONA,5250151A,2146,206,N,,VBM PORTION,58,20,32,
POMONA,5250151A,2146,206,N,828,TOTAL,233,91,116,
POMONA,5250314A,2147,207,N,1234,POLLING PLACE,171,124,40,
POMONA,5250314A,2147,207,N,,VBM PORTION,48,33,11,
POMONA,5250314A,2147,207,N,1234,TOTAL,219,157,51,
POMONA,5250318A,2148,206,N,981,POLLING PLACE,202,111,66,
POMONA,5250318A,2148,206,N,,VBM PORTION,65,38,27,
POMONA,5250318A,2148,206,N,981,TOTAL,267,149,93,
POMONA,5250319A,2149,206,N,787,POLLING PLACE,234,135,76,
POMONA,5250319A,2149,206,N,,VBM PORTION,44,28,14,
POMONA,5250319A,2149,206,N,787,TOTAL,278,163,90,
BALLOT GROUP 202,9990202A,8202,202,N,,POLLING PLACE,,,,
BALLOT GROUP 202,9990202A,8202,202,N,,VBM PORTION,,,,
BALLOT GROUP 202,9990202A,8202,202,N,,TOTAL,,,,
BALLOT GROUP 203,9990203A,8203,203,N,,POLLING PLACE,,,,
BALLOT GROUP 203,9990203A,8203,203,N,,VBM PORTION,,,,
BALLOT GROUP 203,9990203A,8203,203,N,,TOTAL,,,,
BALLOT GROUP 204,9990204A,8204,204,N,,POLLING PLACE,,,,
BALLOT GROUP 204,9990204A,8204,204,N,,VBM PORTION,,,,
BALLOT GROUP 204,9990204A,8204,204,N,,TOTAL,,,,
BALLOT GROUP 205,9990205A,8205,205,N,,POLLING PLACE,,,,
BALLOT GROUP 205,9990205A,8205,205,N,,VBM PORTION,,,,
BALLOT GROUP 205,9990205A,8205,205,N,,TOTAL,,,,
BALLOT GROUP 206,9990206A,8206,206,N,,POLLING PLACE,,,,
BALLOT GROUP 206,9990206A,8206,206,N,,VBM PORTION,,,,
BALLOT GROUP 206,9990206A,8206,206,N,,TOTAL,,,,
BALLOT GROUP 207,9990207A,8207,207,N,,POLLING PLACE,,,,
BALLOT GROUP 207,9990207A,8207,207,N,,VBM PORTION,,,,
BALLOT GROUP 207,9990207A,8207,207,N,,TOTAL,,,,
BALLOT GROUP 208,9990208A,8208,208,N,,POLLING PLACE,,,,
BALLOT GROUP 208,9990208A,8208,208,N,,VBM PORTION,,,,
BALLOT GROUP 208,9990208A,8208,208,N,,TOTAL,,,,
BALLOT GROUP 209,9990209A,8209,209,N,,POLLING PLACE,,,,
BALLOT GROUP 209,9990209A,8209,209,N,,VBM PORTION,,,,
BALLOT GROUP 209,9990209A,8209,209,N,,TOTAL,,,,
